Date,#,Team,,M.,W,D,L,goals,Dif.,Pt.
2019,1,,Alianza Lima,17,10,5,2,32:23:00,9,35
2018,2,,Alianza Lima,15,8,3,4,20:14,6,27
2017,1,,Alianza Lima,15,11,1,3,23:15,8,34
2016,6,,Alianza Lima,30,13,6,11,37:29:00,8,45
2015,14,,Alianza Lima,16,4,5,7,18:21,-3,17
2014,2,,Alianza Lima,15,10,3,2,27:11:00,16,33
2013,3,,Alianza Lima,44,19,12,13,57:46:00,11,70
2012,13,,Alianza Lima,30,9,11,10,31:36:00,-5,34
2011,1,,Alianza Lima,30,17,7,6,45:22:00,23,58
2010,3,,Alianza Lima,30,17,5,8,50:31:00,19,56
2009,3,,Alianza Lima,30,15,6,9,38:31:00,7,51
